Country;Code;Series Name;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Argentina;ARG;Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+);..;..;..;..;..;..;..;33.13;..;..;50.2;..;..;48.71;..;..;..;71.63;..;..
Argentina;ARG;Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+);..;..;..;..;..;..;..;31.82;..;..;50.85;..;..;50.76;..;..;..;73.75;..;..
Argentina;ARG;Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+);..;..;..;..;..;..;..;38.35;..;..;57.5;..;..;53.37;..;..;..;70.62;..;..
Argentina;ARG;Mobile cellular subscriptions (per 100 people);34.94389378;56.70883514;79.81991978;101.3182303;115.4815533;128.9999606;138.8859542;146.2467408;153.3349717;158.9154655;142.9902363;142.9639551;145.9179567;140.5014607;131.9371685;125.9409814;121.6001889;130.4550081;132.3578095;..
Argentina;ARG;Fixed broadband subscriptions (per 100 people);1.403920101;2.37192249;4.011751191;6.520194346;7.733919813;8.629920438;9.801036362;11.01141984;12.27244996;14.74705183;15.22382257;15.84905726;16.60628602;17.80239782;19.07896627;19.65153383;21.25312017;23.16815374;24.62763279;..
Argentina;ARG;Government Effectiveness: Percentile Rank;57.2139320373535;52.9411773681641;53.6585350036621;53.8834953308105;52.4271850585938;47.3684196472168;51.6746406555176;53.554500579834;46.445499420166;45.497631072998;49.519229888916;50.9523811340332;63.8095245361328;58.5714302062988;52.8571434020996;48.0952377319336;43.3333320617676;37.1428565979004;41.9811325073242;..
Argentina;ARG;Trade (% of GDP);40.692646108947;40.5512709706238;40.4334798719151;40.945170618571;40.4026733790382;34.0571269054879;34.9710132635696;35.2061549999644;30.5265423717108;29.3339290021037;28.4067936452275;22.4862260889792;26.0938878488799;25.2896011376779;30.7625359549926;32.6306150458499;30.203698807416;32.9300242545298;31.6505139756506;..
Argentina;ARG;Tax revenue (% of GDP);13.1007798994386;13.1031756459852;12.8788866954319;12.4482684483004;13.3178463574032;12.3830415594157;12.8530426903255;12.6636277012315;12.9528415127413;12.4529027558077;12.6109666067191;12.3365069418291;12.0972836411962;10.939623860491;9.99239008384335;10.5943975145081;10.8658963820494;11.4685182825873;..;..
Argentina;ARG;Rule of Law: Percentile Rank;25.480770111084;34.4497604370117;34.4497604370117;33.9712905883789;27.884614944458;30.3317527770996;32.7014236450195;33.3333320617676;32.3943672180176;32.3943672180176;19.7115383148193;26.6666660308838;42.3809509277344;45.7142868041992;46.6666679382324;37.1428565979004;34.2857131958008;34.2857131958008;34.9056587219238;..
Australia;AUS;Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+);..;..;..;..;..;..;..;99.06;..;..;98.86;..;..;99.52;..;..;..;99.32;..;..
Australia;AUS;Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+);..;..;..;..;..;..;..;98.59;..;..;99.04;..;..;99.2;..;..;..;100;..;..
Australia;AUS;Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+);..;..;..;..;..;..;..;99.11;..;..;99.61;..;..;99.64;..;..;..;99.18;..;..
Australia;AUS;Mobile cellular subscriptions (per 100 people);82.70993065;91.31591136;96.54551735;102.0602734;104.1045379;102.4888541;102.1836974;106.4049909;107.0777947;107.910329;106.7765212;108.1853261;109.7343698;108.4165835;110.6519296;110.29622;105.231579;104.5172138;107.0312028;..
Australia;AUS;Fixed broadband subscriptions (per 100 people);5.079032149;9.994184436;19.05503632;..;25.01426849;24.10334718;25.02365212;24.83334775;25.23178374;25.8785757;27.84881655;28.66470341;30.47648836;32.21591053;33.73729294;34.71444171;35.44838692;35.04743956;35.19832155;..
Australia;AUS;Government Effectiveness: Percentile Rank;96.0198974609375;94.6078414916992;93.6585388183594;96.1165084838867;95.6310653686523;94.2583694458008;94.7368392944336;94.3127975463867;93.8388595581055;94.3127975463867;92.3076934814453;91.9047622680664;91.4285736083984;91.4285736083984;92.3809509277344;92.3809509277344;92.8571395874023;92.8571395874023;92.9245300292969;..
Australia;AUS;Trade (% of GDP);37.0096135930442;39.1607469727979;41.5594471705758;42.0080200326348;42.8467764017331;45.7408630288694;40.5106330129004;41.8373511173643;43.1490246873109;41.2501910637454;42.4430282022511;41.5942804140742;40.7946418668351;41.9422091216328;43.3470784937935;45.7489633556611;44.1430455941203;39.7023602363157;45.1367444404109;..
